location,location_city
32/21 ĐƯƠNG 494 KHU PHỐ 4 PHƯỜNG TĂNG NHƠN PHÚ A QUẬN 9,Khác/Không rõ
"T12 Hồng Lĩnh, Cư xác Bắc hải",Khác/Không rõ
"92 CÁCH MẠNG THÁNG TÁM, PHƯỜNG VÕ THỊ SÁU",Khác/Không rõ
110 ngô gia tự,Khác/Không rõ
"Tổ 2, Ấp Phước Lập, Phường Mỹ Xuân, Thị Xã Phú Mỹ, Tỉnh BRVT",Khác/Không rõ
"207/45 Đường 3 Tháng 2, P.1, Q.3",Khác/Không rõ
"Đường số 9, KCN Tam Phước, Phường Tam Phước | KCN Tam Phước, P Tam Phước, TP Biên Hoà",Khác/Không rõ
"29 Đường 52 Cư Xá Lữ Gia, P.15, Q.11",Khác/Không rõ
308 xã đàn,Khác/Không rõ
61 Nguyễn Quốc Trị,Khác/Không rõ
"Toà nhà Sông Đà, Mễ Trì",Khác/Không rõ
"KCN Bắc Chu Lai, Tam Hiệp | KCN Cơ khí & Ô tô Chu Lai – Trường Hải",Khác/Không rõ
565 kha vạn can,Khác/Không rõ
"589/58 Đường Mỹ Phước Tân Vạn, KP Đông Thành, Dĩ AN, BD",Khác/Không rõ
"57 Nguyễn Lộ Trạch, P.Hòa Cường Nam | 57 Nguyễn Lộ Trạch, P. Hòa Cường Nam, Quận Hải Châu",Khác/Không rõ
"Khu Sala, Q2",Khác/Không rõ
"150 Đường 3158B, Phạm Thế Hiển, Phường 7",Khác/Không rõ
"Toà Westbay,Khu đô thị Ecopark",Khác/Không rõ
"505 Minh Khai, Vĩnh Tuy",Khác/Không rõ
"327-329 Tô Hiến Thành | 327-329 Tô Hiến Thành, P.13, Q.10",Khác/Không rõ
"107 đường GS14 (Võ Thị Sáu), Kp. Tây B, P. Đông Hoà, Tp.Dĩ An.",Khác/Không rõ
"Ngõ 52 Giang Văn Minh, Đội Cấn",Khác/Không rõ
"Lầu 6 tòa nhà Anh Gruoup Business Center, 111 Hoàng Hoa thám, p2",Khác/Không rõ
20 Nguyễn Chí Thanh,Khác/Không rõ
"282/7, Nguyễn Trọng Tuyển",Khác/Không rõ
"644 NGUYỄN ĐÌNH CHIỂU | 644 NGUYỄN ĐÌNH CHIỂU P.3, Q.3",Khác/Không rõ
"Thôn 1, xã Ea Ktur | QL27, xã Ea Ktur, huyện Cư Kuin",Khác/Không rõ
"SỐ 14 ĐƯỜNG SỐ 2,KCN SÓNG THẦN 3,P PHÚ TÂN",Khác/Không rõ
"Tầng 3, 63 Phan Đăng Lưu, Hải Châu | 51 Bùi tá hán, Phường Khuê Mỹ, Quận Ngũ Hành Sơn",Khác/Không rõ
